,Total,dengue,Reg,t,mosquito,count,region_alt,Region,2015,2010
0,,,I,2012-05-14,,0.0,I,REGION I - ILOCOS,5026128,4748372.0
1,,,I,2012-05-21,,0.0,I,REGION I - ILOCOS,5026128,4748372.0
2,,,I,2012-05-28,,0.0,I,REGION I - ILOCOS,5026128,4748372.0
3,,,I,2012-06-04,,0.0,I,REGION I - ILOCOS,5026128,4748372.0
4,,,I,2012-06-11,,0.0,I,REGION I - ILOCOS,5026128,4748372.0
5,,,I,2012-06-18,,0.0,I,REGION I - ILOCOS,5026128,4748372.0
6,,,I,2012-06-25,,0.0,I,REGION I - ILOCOS,5026128,4748372.0
7,5627.0,8.833837896687072,I,2012-07-02,,0.0,I,REGION I - ILOCOS,5026128,4748372.0
8,6437.0,11.300945777743822,I,2012-07-09,,0.0,I,REGION I - ILOCOS,5026128,4748372.0
9,,,I,2012-07-16,,0.0,I,REGION I - ILOCOS,5026128,4748372.0
10,,,I,2012-07-23,,0.0,I,REGION I - ILOCOS,5026128,4748372.0
11,,,I,2012-07-30,,0.0,I,REGION I - ILOCOS,5026128,4748372.0
12,6979.0,9.649575179939708,I,2012-08-06,,0.0,I,REGION I - ILOCOS,5026128,4748372.0
13,7781.0,9.888327555525844,I,2012-08-13,,0.0,I,REGION I - ILOCOS,5026128,4748372.0
14,,,I,2012-08-20,,0.0,I,REGION I - ILOCOS,5026128,4748372.0
15,,,I,2012-08-27,,0.0,I,REGION I - ILOCOS,5026128,4748372.0
16,,,I,2012-09-03,,0.0,I,REGION I - ILOCOS,5026128,4748372.0
17,,,I,2012-09-10,,0.0,I,REGION I - ILOCOS,5026128,4748372.0
18,,,I,2012-09-17,,0.0,I,REGION I - ILOCOS,5026128,4748372.0
19,,,I,2012-09-24,,0.0,I,REGION I - ILOCOS,5026128,4748372.0
20,,,I,2012-10-01,,0.0,I,REGION I - ILOCOS,5026128,4748372.0
21,,,I,2012-10-08,,0.0,I,REGION I - ILOCOS,5026128,4748372.0
22,,,I,2012-10-15,,0.0,I,REGION I - ILOCOS,5026128,4748372.0
23,,,I,2012-10-22,,0.0,I,REGION I - ILOCOS,5026128,4748372.0
24,,,I,2012-10-29,,0.0,I,REGION I - ILOCOS,5026128,4748372.0
25,,,I,2012-11-05,,0.0,I,REGION I - ILOCOS,5026128,4748372.0
26,,,I,2012-11-12,,0.0,I,REGION I - ILOCOS,5026128,4748372.0
27,,,I,2012-11-19,,0.0,I,REGION I - ILOCOS,5026128,4748372.0
28,,,I,2012-11-26,,0.0,I,REGION I - ILOCOS,5026128,4748372.0
29,,,I,2012-12-03,,0.0,I,REGION I - ILOCOS,5026128,4748372.0
30,,,I,2012-12-10,,0.0,I,REGION I - ILOCOS,5026128,4748372.0
