Region,Date,Unnamed: 0,count,dengue,mosquito,M_cat1,M_cat2,M_cat3,M_cat4,M_cat5,Regioncol,mosquito_lag1,mosquito_lag2,Ml_cat1,Ml_cat2,Ml_cat3,Ml_cat4,Ml_cat5
ARMM,2013-01-01,0,1,4.9665099999999995,0.0,True,False,False,False,False,ARMM,,,,,,,
ARMM,2013-02-01,1,2,3.393407,75.0,False,False,False,True,False,ARMM,0.0,,1.0,0.0,0.0,0.0,0.0
ARMM,2013-03-01,2,1,9.416143,10.715,True,False,False,False,False,ARMM,75.0,0.0,0.0,0.0,0.0,1.0,0.0
ARMM,2013-04-01,3,0,0.314621,49.49,False,False,True,False,False,ARMM,10.715,75.0,1.0,0.0,0.0,0.0,0.0
ARMM,2013-05-01,4,0,0.809024,40.386666666666656,False,False,True,False,False,ARMM,49.49,10.715,0.0,0.0,1.0,0.0,0.0
ARMM,2013-06-01,5,0,1.056226,44.66666666666666,False,False,True,False,False,ARMM,40.386666666666656,49.49,0.0,0.0,1.0,0.0,0.0
ARMM,2013-07-01,6,0,0.651714,41.71643593519881,False,False,True,False,False,ARMM,44.66666666666666,40.386666666666656,0.0,0.0,1.0,0.0,0.0
ARMM,2013-08-01,7,1,6.247465,27.27,False,True,False,False,False,ARMM,41.71643593519881,44.66666666666666,0.0,0.0,1.0,0.0,0.0
ARMM,2013-09-01,8,0,0.741606,62.88833333333334,False,False,False,True,False,ARMM,27.27,41.71643593519881,0.0,1.0,0.0,0.0,0.0
ARMM,2013-10-01,9,12,5.595751,49.67249999999999,False,False,True,False,False,ARMM,62.88833333333334,27.27,0.0,0.0,0.0,1.0,0.0
ARMM,2013-11-01,10,84,2.022561,40.44579497354499,False,False,True,False,False,ARMM,49.67249999999999,62.88833333333334,0.0,0.0,1.0,0.0,0.0
ARMM,2013-12-01,11,75,7.9554050000000025,50.33362380952382,False,False,True,False,False,ARMM,40.44579497354499,49.67249999999999,0.0,0.0,1.0,0.0,0.0
ARMM,2014-01-01,12,57,0.397961,53.01468421052631,False,False,True,False,False,ARMM,50.33362380952382,40.44579497354499,0.0,0.0,1.0,0.0,0.0
ARMM,2014-02-01,13,37,1.2381,45.922468468468466,False,False,True,False,False,ARMM,53.01468421052631,50.33362380952382,0.0,0.0,1.0,0.0,0.0
ARMM,2014-03-01,14,9,0.729595,39.31824074074074,False,True,False,False,False,ARMM,45.922468468468466,53.01468421052631,0.0,0.0,1.0,0.0,0.0
ARMM,2014-04-01,15,0,0.176871,33.43200000000001,False,True,False,False,False,ARMM,39.31824074074074,45.922468468468466,0.0,1.0,0.0,0.0,0.0
ARMM,2014-05-01,16,0,5.858868,20.9334375,False,True,False,False,False,ARMM,33.43200000000001,39.31824074074074,0.0,1.0,0.0,0.0,0.0
ARMM,2014-06-01,17,0,0.46428800000000003,41.830579096045206,False,False,True,False,False,ARMM,20.9334375,33.43200000000001,0.0,1.0,0.0,0.0,0.0
ARMM,2014-07-01,18,5,3.869064,17.112000000000002,True,False,False,False,False,ARMM,41.830579096045206,20.9334375,0.0,0.0,1.0,0.0,0.0
ARMM,2014-08-01,19,7,1.8350419999999998,24.52630952380952,False,True,False,False,False,ARMM,17.112000000000002,41.830579096045206,1.0,0.0,0.0,0.0,0.0
ARMM,2014-09-01,20,9,5.549343,37.51694444444445,False,True,False,False,False,ARMM,24.52630952380952,17.112000000000002,0.0,1.0,0.0,0.0,0.0
ARMM,2014-10-01,21,13,0.110545,26.80483333333333,False,True,False,False,False,ARMM,37.51694444444445,24.52630952380952,0.0,1.0,0.0,0.0,0.0
ARMM,2014-11-01,22,7,0.729595,23.919523809523806,False,True,False,False,False,ARMM,26.80483333333333,37.51694444444445,0.0,1.0,0.0,0.0,0.0
ARMM,2014-12-01,23,4,0.795922,24.11,False,True,False,False,False,ARMM,23.919523809523806,26.80483333333333,0.0,1.0,0.0,0.0,0.0
ARMM,2015-01-01,24,3,0.413404,59.66666666666666,False,False,True,False,False,ARMM,24.11,23.919523809523806,0.0,1.0,0.0,0.0,0.0
ARMM,2015-02-01,25,2,3.6988760000000003,43.70833333333333,False,False,True,False,False,ARMM,59.66666666666666,24.11,0.0,0.0,1.0,0.0,0.0
ARMM,2015-03-01,26,2,0.369888,9.0,True,False,False,False,False,ARMM,43.70833333333333,59.66666666666666,0.0,0.0,1.0,0.0,0.0
ARMM,2015-04-01,27,0,2.502181,22.58604166666667,False,True,False,False,False,ARMM,9.0,43.70833333333333,1.0,0.0,0.0,0.0,0.0
ARMM,2015-05-01,28,0,2.045261,30.96555555555555,False,True,False,False,False,ARMM,22.58604166666667,9.0,0.0,1.0,0.0,0.0,0.0
ARMM,2015-06-01,29,11,3.7206339999999996,35.11844696969697,False,True,False,False,False,ARMM,30.96555555555555,22.58604166666667,0.0,1.0,0.0,0.0,0.0
ARMM,2015-07-01,30,14,0.065274,39.25908333333333,False,True,False,False,False,ARMM,35.11844696969697,30.96555555555555,0.0,1.0,0.0,0.0,0.0
ARMM,2015-08-01,31,15,0.674501,35.15083333333333,False,True,False,False,False,ARMM,39.25908333333333,35.11844696969697,0.0,1.0,0.0,0.0,0.0
ARMM,2015-09-01,32,13,0.56571,41.7121282051282,False,False,True,False,False,ARMM,35.15083333333333,39.25908333333333,0.0,1.0,0.0,0.0,0.0
ARMM,2015-10-01,33,11,0.413404,38.583090909090906,False,True,False,False,False,ARMM,41.7121282051282,35.15083333333333,0.0,0.0,1.0,0.0,0.0
ARMM,2015-11-01,34,10,3.6988760000000003,41.35973333333333,False,False,True,False,False,ARMM,38.583090909090906,41.7121282051282,0.0,1.0,0.0,0.0,0.0
ARMM,2015-12-01,35,10,0.5221939999999999,39.496583333333334,False,True,False,False,False,ARMM,41.35973333333333,38.583090909090906,0.0,0.0,1.0,0.0,0.0
ARMM,2016-01-01,36,11,3.491515,37.48618181818183,False,True,False,False,False,ARMM,39.496583333333334,41.35973333333333,0.0,1.0,0.0,0.0,0.0
ARMM,2016-02-01,37,10,1.90641,25.205333333333336,False,True,False,False,False,ARMM,37.48618181818183,39.496583333333334,0.0,1.0,0.0,0.0,0.0
ARMM,2016-03-01,38,8,4.155545,27.915625,False,True,False,False,False,ARMM,25.205333333333336,37.48618181818183,0.0,1.0,0.0,0.0,0.0
ARMM,2016-04-01,39,0,0.19278299999999998,41.1352380952381,False,False,True,False,False,ARMM,27.915625,25.205333333333336,0.0,1.0,0.0,0.0,0.0
ARMM,2016-05-01,40,0,0.23562399999999997,31.885,False,True,False,False,False,ARMM,41.1352380952381,27.915625,0.0,0.0,1.0,0.0,0.0
ARMM,2016-06-01,41,1,0.38556599999999996,41.18,False,False,True,False,False,ARMM,31.885,41.1352380952381,0.0,1.0,0.0,0.0,0.0
ARMM,2016-07-01,42,1,0.299885,51.52,False,False,True,False,False,ARMM,41.18,31.885,0.0,0.0,1.0,0.0,0.0
ARMM,2016-08-01,43,0,2.313396,34.67156140350877,False,True,False,False,False,ARMM,51.52,41.18,0.0,0.0,1.0,0.0,0.0
ARMM,2016-09-01,44,0,0.535508,49.64818181818182,False,False,True,False,False,ARMM,34.67156140350877,51.52,0.0,1.0,0.0,0.0,0.0
ARMM,2016-10-01,45,0,2.313396,32.1297435897436,False,True,False,False,False,ARMM,49.64818181818182,34.67156140350877,0.0,0.0,1.0,0.0,0.0
ARMM,2016-11-01,46,0,2.270556,42.64658333333333,False,False,True,False,False,ARMM,32.1297435897436,49.64818181818182,0.0,1.0,0.0,0.0,0.0
ARMM,2016-12-01,47,0,3.427254,33.78791666666666,False,True,False,False,False,ARMM,42.64658333333333,32.1297435897436,0.0,0.0,1.0,0.0,0.0
CAR,2013-01-01,0,2,15.59418,0.0,True,False,False,False,False,CAR,,,,,,,
CAR,2013-02-01,1,0,80.586381,28.779666666666664,False,True,False,False,False,CAR,0.0,,1.0,0.0,0.0,0.0,0.0
CAR,2013-03-01,2,2,124.161258,20.0,True,False,False,False,False,CAR,28.779666666666664,0.0,0.0,1.0,0.0,0.0,0.0
