Province,Date,count,mosquito,mosquito_lag1,mosquito_lag2,W1_lag1,W2_lag1,W1_lag2,W2_lag2,W3_lag1,W3_lag2,W4_lag1,W4_lag2,W5_lag1,W5_lag2,W6_lag1,W6_lag2,W7_lag1,W7_lag2,W8_lag1,W8_lag2,W9_lag1,W9_lag2,W10_lag1,W10_lag2,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,log_dengue,log_lag_dengue,Unnamed: 0,Unnamed: 0.1,date_x,Dengue,M_cat1,M_cat2,M_cat3,M_cat4,Provincecol_x,Ml_cat1,Ml_cat2,Ml_cat3,Ml_cat4,Ml2_cat1,Ml2_cat2,Ml2_cat3,Ml2_cat4,lag_dengue,date_y,year,Provincecol_y,W1_cat1,W1_cat2,W1_cat3,W1_cat4,W1l_cat1,W1l_cat2,W1l_cat3,W1l_cat4,W1ll_cat1,W1ll_cat2,W1ll_cat3,W1ll_cat4,W2_cat1,W2_cat2,W2_cat3,W2_cat4,W2l_cat1,W2l_cat2,W2l_cat3,W2l_cat4,W2ll_cat1,W2ll_cat2,W2ll_cat3,W2ll_cat4,W3_cat1,W3_cat2,W3_cat3,W3_cat4,W3l_cat1,W3l_cat2,W3l_cat3,W3l_cat4,W3ll_cat1,W3ll_cat2,W3ll_cat3,W3ll_cat4,W4_cat1,W4_cat2,W4_cat3,W4_cat4,W4l_cat1,W4l_cat2,W4l_cat3,W4l_cat4,W4ll_cat1,W4ll_cat2,W4ll_cat3,W4ll_cat4,W5_cat1,W5_cat2,W5_cat3,W5_cat4,W5l_cat1,W5l_cat2,W5l_cat3,W5l_cat4,W5ll_cat1,W5ll_cat2,W5ll_cat3,W5ll_cat4,W6_cat1,W6_cat2,W6_cat3,W6_cat4,W6l_cat1,W6l_cat2,W6l_cat3,W6l_cat4,W6ll_cat1,W6ll_cat2,W6ll_cat3,W6ll_cat4,W7_cat1,W7_cat2,W7_cat3,W7_cat4,W7l_cat1,W7l_cat2,W7l_cat3,W7l_cat4,W7ll_cat1,W7ll_cat2,W7ll_cat3,W7ll_cat4,W8_cat1,W8_cat2,W8_cat3,W8_cat4,W8l_cat1,W8l_cat2,W8l_cat3,W8l_cat4,W8ll_cat1,W8ll_cat2,W8ll_cat3,W8ll_cat4,W9_cat1,W9_cat2,W9_cat3,W9_cat4,W9l_cat1,W9l_cat2,W9l_cat3,W9l_cat4,W9ll_cat1,W9ll_cat2,W9ll_cat3,W9ll_cat4,W10_cat1,W10_cat2,W10_cat3,W10_cat4,W10l_cat1,W10l_cat2,W10l_cat3,W10l_cat4,W10ll_cat1,W10ll_cat2,W10ll_cat3,W10ll_cat4,MD_ord
abra,2015-01-01,0.20307713330355226,0.324730729111258,,,-0.6420958538252851,-0.9793344215418195,-0.6938408785385671,-0.6069333565434821,-1.1808983819667,-0.6908487243121174,-0.6050362719856109,-0.16639954995361014,-1.9593571566339414,-1.3348731165787573,-0.8639523927923105,-0.8113041514061615,-0.8179504728876209,-0.20237377245896765,-1.5306742335442511,-1.1334489426270329,-1.828124558086718,-1.2048812867223775,1.1355483170846241,0.06084089541920581,-0.7131624594111707,-1.0637441510497563,-1.9526367203605683,-0.8121910859837902,-3.4492281677272945,-1.0581755126591894,-1.5526761202486914,-2.351473612957461,-2.8210529172154573,0.605939489082735,3.2534607279013787,,0,0,2015-01-01,24.87974788522143,False,False,True,False,abra,,,,,False,False,False,False,,2015-01-01,2015,Abra,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,4
abra,2015-02-01,0.1683601720679606,0.15351401086816494,0.33895296348477194,,-0.7137218759476585,-1.0403957212781854,-0.65680973880036,-0.9615026295444657,-1.7954773459138504,-1.1616933839325694,-0.7297046906496627,-0.5899815647720269,-3.39315028396975,-1.953457702063236,-0.9963819481639206,-0.8836024065222955,-1.561137169306075,-0.8372347138073232,-2.289559194849206,-1.5077014636423622,-2.76341382089586,-1.8139178684472008,0.5404093445078919,1.1823887354135125,-0.8086976181970836,-0.2303907746758382,-1.8425542665947492,-1.34972731878378,-3.0502905710468626,-1.0908042898994614,-1.950301615737726,-1.642399149752309,-2.314595291185628,-0.20267705090689972,2.5668868238114255,3.2534607279013787,1,1,2015-02-01,12.025211477857024,False,False,True,False,abra,0.0,0.0,1.0,0.0,False,False,False,False,24.87974788522143,2015-02-01,2015,Abra,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,4
abra,2015-03-01,-0.352394246465914,-0.05815593181872594,0.1672242682771678,0.3490182452031617,-0.8077132391162224,-0.21811799467024287,-0.7288060648343994,-1.0221889224920722,-1.6917987519287403,-1.7744159966463937,-1.2575901212947749,-0.7159509042690614,-3.001691166080455,-3.384912855155229,-1.0256075688449517,-1.0156875347772003,-1.9506956364183115,-1.571279299248955,-1.589509253577166,-2.265651424683007,-2.26376240896541,-2.7482789045901077,-0.2284780472138699,0.5786189489175968,-0.7149352354054389,0.9770435335117245,-0.7390341004649388,-1.1878098373168895,-2.767193054817282,-0.9643956504331008,-1.931659993541722,-0.5959456551546615,-1.151977349829296,-1.046148253650249,1.6383410915565078,2.5668868238114255,2,2,2015-03-01,4.146624647536905,False,True,False,False,abra,0.0,0.0,1.0,0.0,False,False,True,False,12.025211477857024,2015-03-01,2015,Abra,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,True,False,False,False,True,False,False,False,True,False,4
abra,2015-04-01,-0.8384317037641971,-0.4561773775692636,-0.04507861572437435,0.17871556404340166,-0.7154660048569658,0.9732689560672336,-0.8232833599088937,-0.2049611986036127,-0.6524739972140222,-1.6710505664646418,-1.0985796691287995,-1.2493448442986137,-2.7239005920607924,-2.994092059013809,-0.9123832539818951,-1.044837144508585,-1.9324322155623896,-1.9560457178013027,-0.5563741662893666,-1.5664639947446928,-1.116768729576819,-2.249123371082321,-1.0305076137597935,-0.20141898798527616,-0.6414650051365479,1.4615829295130853,-0.04740815637403416,-1.0710538058077916,-1.709265932677861,-0.8249549932420629,-1.6320355800279924,0.4355669692811852,-0.37852886615391856,-1.0112791112495165,2.085580397886715,1.6383410915565078,3,3,2015-04-01,7.049261900812738,False,True,False,False,abra,0.0,1.0,0.0,0.0,False,False,True,False,4.146624647536905,2015-04-01,2015,Abra,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,4
abra,2015-05-01,-0.8731486649997886,0.3407833189566021,-0.44429023620607544,-0.03182438281698292,-0.6431830130972913,1.451368600577721,-0.7305592108263037,0.9791088722689545,-0.0010822177437619005,-0.6348651183377215,-0.983919848612984,-1.0886751105591537,-1.6858053574429324,-2.7167544563432555,-0.7874861508949571,-0.9319073071449034,-1.6388865839014786,-1.938006959497988,0.46201020605652987,-0.5346018033883412,-0.35371451326789727,-1.1032680241450339,-0.9973516707062199,-1.0150797335759376,0.05386521787268656,1.2997291890986047,0.348706777050256,-0.6374356277442853,-1.0160572016097775,0.04996646490175777,-0.7677339026609962,0.4168520236592428,0.14318567385611278,-1.150298528393197,3.2208907118479755,2.085580397886715,4,4,2015-05-01,24.050422955714048,False,False,True,False,abra,0.0,1.0,0.0,0.0,False,True,False,False,7.049261900812738,2015-05-01,2015,Abra,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,4
abra,2015-06-01,-0.3176772852303224,0.7201427292030795,0.3550535542280767,-0.427720998906545,0.04091105597098906,1.2916659708360547,-0.6579025186459942,1.4542722770798433,0.3719894022012501,0.014559115863120671,-0.5580867517996312,-0.9728188094044282,-1.0055915078707545,-1.6803519623829501,-0.0038183329711456286,-0.8073350405265343,-0.7921198640171722,-1.6480723003616637,0.4435334490113961,0.4825278469563773,0.16098877708260564,-0.34097110004455006,-1.1295407513892026,-0.9814429569893635,-0.04613691604380362,0.18505296735122212,-0.023070795253804455,-0.41728258642212046,-0.2232595890362941,-0.12402417124454843,-0.18261022865989138,0.2892037571279811,0.22126819658308935,-1.4817488018903957,3.567191495318897,3.2208907118479755,5,5,2015-06-01,34.41698457455631,False,False,False,True,abra,0.0,0.0,1.0,0.0,False,True,False,False,24.050422955714048,2015-06-01,2015,Abra,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,4
abra,2015-07-01,0.4113789007171021,1.2833078924141392,0.735547335471205,0.36498513861329346,-0.057475098467079,0.19180430889552605,0.029728291710119918,1.2955504579431671,0.021839358728553138,0.38650386358758676,-0.34188628765450174,-0.5425421241269366,-0.22765566861878683,-1.0012472843016005,-0.15966187858177128,-0.025705411481517282,-0.2188671825345372,-0.8117218532147035,0.3175097855942108,0.46407385459047906,0.23802195956908573,0.1732213736652622,-1.4447061278950954,-1.1155490678284845,5.253367830198534,-0.3092655495621646,-0.25570572392673147,-2.5011490196404673,0.06155941286165717,3.020398900101379,1.0514627392794462,-0.9175289421499225,-0.7492718758729546,0.6916231264334315,4.12641448596044,3.567191495318897,6,6,2015-07-01,60.955382318792495,False,False,False,True,abra,0.0,0.0,0.0,1.0,False,False,True,False,34.41698457455631,2015-07-01,2015,Abra,False,False,False,True,False,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,True,False,False,False,True,False,False,False,False,True,True,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,4
abra,2015-08-01,0.44609586195269374,1.9675964563113715,1.3003964907230992,0.7423193461083415,5.156392566041784,-0.2959444875110674,-0.06916651554381927,0.20244357508046582,-0.19726242808249464,0.037411457136624346,-2.388339461194661,-0.32408559793400943,0.05182412012219319,-0.22457996414128964,2.6568002666933155,-0.18114363410422565,0.990168905817484,-0.24552088519401719,-0.8738646032704095,0.33820546129276186,-0.7194751588752964,0.250178104665542,0.6218831521505785,-1.4352850301029663,4.126789774730429,-0.4474906368576037,-0.055155348770278334,-0.4824038578823356,0.07612254006863624,2.8525150055298463,1.3305625368035296,-0.9163146321562854,-0.5733293493335198,0.0025797724178713488,4.654724616633164,4.12641448596044,7,7,2015-08-01,104.08027865317631,False,False,False,True,abra,0.0,0.0,0.0,1.0,False,False,False,True,60.955382318792495,2015-08-01,2015,Abra,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,4
abra,2015-09-01,0.6543976293662436,1.2932566385126427,1.9867312332025906,1.3024780631703436,4.0480193922814784,-0.4323324998042823,5.171656653876066,-0.28230972154719186,-0.008378730380402778,-0.1810285272112242,-0.4058383867527666,-2.3918936069305805,0.06611424714353854,0.054444098780333565,2.5064265341727476,2.6279933643538667,1.2636063250179232,0.9486425713577255,-0.8726657480248133,-0.8517010695627011,-0.545897099654086,-0.7063687469538861,-0.033305953008004756,0.6612743045775589,0.07875391828082122,-0.5519954911636288,-0.3148013513564596,0.2726054398890484,-0.0038663984368787034,-0.03092724346354605,1.1346829171531583,-0.8032866579484299,-0.574680382457025,-1.3237974419408116,4.715949894065003,4.654724616633164,8,8,2015-09-01,110.71487808923537,False,False,False,True,abra,0.0,0.0,0.0,1.0,False,False,False,True,104.08027865317631,2015-09-01,2015,Abra,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,True,False,False,False,True,False,False,False,False,True,4
abra,2015-10-01,0.34194497824591885,0.6422098113086413,1.3103749858372389,1.9831135660258687,0.06539756867043214,-0.5354484365179,4.057553231392357,-0.4178601095065616,-0.2529202677561645,0.007284642526596764,0.3356156473670304,-0.3887050402048391,-0.012375219802723386,0.06871092400989336,-0.07627488930352222,2.4780107287525244,1.0717007122360314,1.2187163737932345,-0.7610763017646199,-0.850503691392062,-0.5472299764300088,-0.5329629550617783,-1.2945152733126533,-0.0034164724745938354,1.7283042120384207,-0.6229658988878867,-0.3751461724681762,0.39249961886242385,-0.2314252852248996,0.4693962174751127,0.9507710818469817,-1.0810139252133795,-0.8344897028149185,0.44303824223275606,3.959252822020736,4.715949894065003,9,9,2015-10-01,51.41814562945762,False,False,False,True,abra,0.0,0.0,0.0,1.0,False,False,False,True,110.71487808923537,2015-10-01,2015,Abra,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,4
abra,2015-11-01,0.5849637068950603,0.6058046187814803,0.6573813804110711,1.3123736980834442,1.6882920370077115,-0.6054756148727364,0.05434139878360448,-0.5203427616935827,-0.3097546313910387,-0.23651825097891038,0.45335727376777946,0.36048610175687856,-0.23566829077709417,-0.00965055630522038,0.3718652165772004,-0.09797352043359485,0.8915200813196014,1.0291714362193112,-1.035268882695603,-0.7390517312688556,-0.8035477552087343,-0.5342945090258017,0.3855118020951325,-1.2829160803562099,-0.7934802543932565,-0.5049324161698905,-0.23055748269713208,0.1479209734389113,-1.1015965280107387,-0.9526119476335756,0.3169835773654201,-1.1214067328417985,-1.0061685126528042,-0.068746447006633,3.3452519732597987,3.959252822020736,10,10,2015-11-01,27.36772267374357,False,False,True,False,abra,0.0,0.0,0.0,1.0,False,False,False,True,51.41814562945762,2015-11-01,2015,Abra,True,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,4
abra,2015-12-01,0.3072280170103272,0.9936651636179324,0.6208673280707226,0.6648024715635178,-0.7927417795412312,-0.4890108514427465,1.6856261720971908,-0.5899398694899127,-0.17357714307395103,-0.29318094498755576,0.2131697372114687,0.4794563675864051,-1.089527315216052,-0.2325795207437128,-0.9018285823893639,0.34900104801014614,0.2705908614337614,0.8512072488044268,-1.0751476035851837,-1.0129064874322988,-0.9729193972283701,-0.7903579055436019,-0.10112775494070353,0.42147505409522273,0.05227069209181126,-0.6947301212630582,-0.7101054046713999,-0.4684542658156626,-1.343235710718705,-0.2795009222146936,-0.25974769359068667,-1.3543551047813374,-1.4883897345888104,0.2326929970063836,2.5010987267171823,3.3452519732597987,11,11,2015-12-01,11.195886548349645,False,False,False,True,abra,0.0,0.0,1.0,0.0,False,False,False,True,27.36772267374357,2015-12-01,2015,Abra,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,4
agusan del norte,2015-01-01,0.34194497824591885,0.5650014763285129,,,3.227907777273205,-0.5785946442191605,0.9490901746505087,-0.42809595258559613,-0.0787018380266665,-0.20211112391065636,-0.18571330541357006,0.04599059903131036,0.827426797115444,0.7137040629135181,3.6408147062795333,0.48968573150910655,1.3888203730290252,1.1107488507104606,-0.6368173532689686,-0.40078760855030593,-0.3779951696687375,-0.13837237980065245,-0.27397925456428807,-0.8683456984571004,2.7264059245282684,-0.9255106189176039,-0.5073963351697269,-0.5552644677369172,0.31338483209919327,3.6172854417746723,1.418649801250643,-0.8182955294698133,-0.6691756459808879,-0.28123604968809585,3.10909243454743,,12,0,2015-01-01,21.400705066472327,False,False,True,False,agusan del norte,0.0,0.0,0.0,0.0,False,False,False,False,,2015-01-01,2015,Agusan del Norte,False,False,False,True,False,False,False,True,False,False,False,True,True,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,4
agusan del norte,2015-02-01,-0.28296032399473076,-0.5127753540979719,0.5799421749331098,,2.6702649748245255,-0.9039993763840223,3.23320166936425,-0.5632239877965631,-0.4343113654948013,-0.06282605240255726,-0.4773908739401048,-0.16628294325218682,0.2989288234570221,0.8287820611870291,3.1914319976987158,3.6094485470183812,1.3499064745290201,1.3423901349177556,-0.7758941526002155,-0.6149458786383358,-0.6404553311562445,-0.36522765913812805,-0.3031772657951782,-0.24758006214300382,0.07066462246080563,-1.0565913743550195,-0.7075303124322172,0.6533019244545316,-0.6357605681411418,0.20715194749229074,0.8948964436971187,-0.9349178612588191,-1.0362508319349892,-0.17332967624016282,3.0072514072572396,3.10909243454743,13,1,2015-02-01,19.231714688113644,False,True,False,False,agusan del norte,0.0,0.0,1.0,0.0,False,False,False,False,21.400705066472327,2015-02-01,2015,Agusan del Norte,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,4
agusan del norte,2015-03-01,-0.8037147425286054,-0.589259106163794,-0.5010574535689616,0.588006311761365,0.057438991421391715,-1.0333380082764403,2.672675874045935,-0.8866302531062612,-0.6228028885431897,-0.4173614523401006,0.7094771946214767,-0.4610041809731822,-0.6324239099490347,0.3011458678138969,0.13697282377149259,3.161234607676268,0.8367790281551377,1.3039549252591176,-0.8910322103873581,-0.7538513254579841,-1.0025974443757955,-0.6274273423646259,-0.20057257503335044,-0.2772015082577715,-0.3998554564653598,-0.3742401232211953,-0.5054348819322104,0.9246111246831598,-0.7916479118539929,-0.5930541198996858,-0.14103155294819714,-0.6858774532835453,-0.7903576664499441,-0.31773023896030655,2.4596189723956057,3.0072514072572396,14,2,2015-03-01,10.700352533236163,False,True,False,False,agusan del norte,0.0,1.0,0.0,0.0,False,False,True,False,19.231714688113644,2015-03-01,2015,Agusan del Norte,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,True,True,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,4
